Age,Gender,Country,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
25,20,39,0,0,4,4,0,1,1,0,1,1,2,1,0,1,1,2,1,2,1,0
38,39,45,0,1,3,5,0,1,2,1,2,2,2,0,2,1,0,0,1,1,1,0
26,10,44,2,1,3,0,1,1,1,0,1,1,0,4,0,1,1,2,1,0,2,0
28,20,44,0,1,3,5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,20,21,2,0,3,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
32,20,45,0,0,3,5,0,1,2,0,1,2,0,2,1,1,2,1,0,2,0,0
24,10,45,2,1,3,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1
28,10,45,0,1,3,2,0,1,0,1,1,1,0,0,2,0,1,0,1,0,0,0
37,37,44,0,0,1,4,0,1,1,0,1,1,0,0,2,1,2,2,0,2,1,0
26,10,45,0,1,2,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0
60,39,45,0,0,4,5,0,1,2,0,0,2,0,0,1,1,1,2,0,0,2,0
37,20,28,2,0,0,0,1,1,0,1,0,0,0,4,2,2,1,1,1,1,0,0
31,20,45,0,1,3,4,0,1,1,0,1,1,0,2,0,1,2,2,1,0,0,0
33,20,45,0,0,4,4,1,1,2,0,0,2,2,0,1,1,1,2,1,1,2,0
30,20,45,2,0,1,4,1,1,1,1,1,2,0,1,1,1,2,2,1,0,2,0
26,10,45,0,1,3,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1
28,20,0,0,0,1,1,1,1,1,2,1,1,0,0,2,1,0,0,1,0,1,0
48,39,0,0,0,3,4,0,1,1,0,1,1,0,2,2,1,1,0,1,0,1,1
45,8,45,0,0,3,0,0,1,2,0,1,1,2,1,1,1,2,2,1,1,2,0
36,11,45,0,1,2,4,0,1,0,0,1,0,0,0,2,0,1,0,1,1,0,0
61,39,39,2,0,3,0,1,1,1,0,1,1,0,3,2,0,1,2,1,0,1,1
57,20,45,0,0,0,2,0,1,2,2,1,2,2,1,2,0,0,0,1,0,0,1
41,37,45,0,1,1,5,0,1,2,0,2,2,0,1,0,1,2,1,1,0,1,1
40,16,45,0,0,2,5,0,1,2,2,2,2,2,0,1,1,1,1,1,0,0,0
29,8,45,0,0,3,2,0,1,2,2,1,1,0,0,0,1,1,1,1,0,1,1
27,20,44,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,0,0,0
25,20,7,0,1,3,5,0,1,2,2,1,0,0,0,2,0,1,0,1,1,1,0
29,39,45,0,0,3,5,0,1,2,0,2,1,0,0,2,0,0,0,1,1,0,0
27,20,0,0,0,0,0,1,1,1,0,1,1,0,0,2,1,0,0,1,0,0,0
43,20,45,0,0,3,5,1,1,1,1,1,1,0,3,2,0,0,0,1,0,1,1
37,15,7,0,1,3,1,0,0,2,2,1,1,0,1,2,0,1,1,1,0,1,0
34,20,7,0,1,3,5,0,1,2,1,2,2,2,0,0,1,0,0,1,0,0,0
32,35,44,0,0,4,5,0,0,1,0,1,0,0,0,0,1,1,2,1,2,1,0
41,20,45,0,0,3,2,1,1,2,2,0,1,0,4,1,1,2,2,2,2,2,0
33,39,7,0,1,1,4,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0
31,20,45,0,1,2,1,0,1,1,0,1,0,0,1,2,2,1,0,1,1,1,1
32,20,44,0,0,4,5,0,0,0,1,1,0,0,0,0,1,1,1,1,2,0,0
29,39,7,0,0,4,0,1,1,1,2,1,1,0,1,0,0,2,2,1,0,0,0
39,10,44,0,1,2,3,1,1,0,1,1,1,0,1,2,2,0,0,1,1,1,1
31,20,45,0,0,4,5,0,1,2,1,0,0,2,0,1,1,0,1,1,1,2,0
26,20,45,0,0,3,4,0,1,2,2,1,1,2,0,0,1,1,0,1,0,0,0
43,16,45,0,0,3,5,0,1,2,2,2,2,2,2,2,0,0,0,1,2,0,0
31,20,45,0,0,4,1,0,0,0,0,1,1,2,2,0,1,0,0,1,2,1,0
36,20,45,2,0,0,0,0,1,1,2,1,1,0,2,0,1,1,2,1,1,2,0
30,39,7,0,1,3,5,0,0,0,0,1,1,1,3,2,1,1,0,1,2,1,1
27,39,15,0,0,4,4,0,1,0,1,0,0,0,0,1,1,2,2,1,1,2,0
34,16,45,0,0,0,4,1,1,2,1,0,0,0,2,0,0,0,1,1,0,0,0
27,4,45,2,0,1,0,1,1,2,2,2,2,2,4,0,0,1,2,1,0,2,0
19,39,38,0,0,3,4,0,1,0,0,1,1,0,2,2,2,1,0,1,1,0,0
24,20,44,2,0,4,0,1,1,1,2,1,1,2,4,1,1,0,0,1,0,2,0
27,20,44,0,0,0,4,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
32,20,44,0,0,2,3,0,1,1,0,1,1,0,0,2,1,0,0,1,1,0,0
22,20,20,0,0,4,2,0,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0
27,10,45,0,0,2,4,0,1,2,0,1,1,2,0,0,0,2,0,1,0,0,0
40,10,45,0,0,0,2,0,0,0,1,1,1,0,2,0,0,2,2,0,0,0,0
43,20,45,0,0,4,3,1,1,0,1,0,0,0,0,1,1,2,2,1,1,2,0
25,20,45,0,1,3,2,0,1,0,2,1,1,0,2,2,1,1,1,1,0,0,0
32,20,45,0,0,3,4,0,1,1,2,1,1,2,2,1,1,1,2,0,0,2,0
29,10,45,0,0,4,4,0,1,0,0,1,0,0,2,0,1,1,0,1,1,0,0
45,39,45,0,1,3,5,0,1,2,2,0,0,2,0,0,1,1,1,1,0,0,0
37,20,45,0,1,3,2,1,1,0,0,1,1,0,2,0,1,1,1,1,0,1,0
37,20,44,2,0,3,5,0,0,1,2,2,2,2,3,2,2,1,0,1,0,2,0
23,16,45,0,1,4,2,1,1,2,2,1,0,2,0,0,1,0,1,1,1,0,0
28,18,45,0,0,3,4,1,1,1,2,1,1,0,2,2,0,1,0,1,1,0,0
26,8,45,0,0,3,1,0,1,2,2,1,1,0,1,2,0,1,1,1,1,1,1
22,37,1,0,0,4,4,1,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0
31,35,3,0,1,2,1,0,0,2,0,1,1,1,0,0,1,1,0,1,1,0,1
35,10,45,0,1,3,4,0,0,2,1,2,2,2,1,0,0,1,2,1,0,2,0
23,20,45,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,2,1,2,2,0
43,39,17,0,0,3,2,0,0,1,2,0,1,0,2,0,1,1,1,1,2,1,1
38,20,45,0,0,2,2,1,1,2,0,1,1,0,0,2,1,0,0,1,0,1,0
24,35,45,0,1,3,5,0,1,2,2,1,2,2,0,0,1,1,0,1,0,0,0
45,20,21,2,0,1,0,0,1,1,0,1,1,0,3,1,1,0,0,1,1,0,0
33,11,45,0,0,0,3,0,1,2,1,2,2,0,4,0,1,1,2,1,1,2,0
34,39,33,0,0,0,5,1,1,0,1,1,1,0,0,0,1,1,1,1,2,0,0
28,20,45,0,1,3,2,1,1,2,1,1,0,0,0,2,1,1,1,1,1,0,1
56,35,45,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
37,20,21,0,1,3,0,0,1,1,0,1,1,0,4,1,1,2,2,0,0,2,0
29,10,45,0,1,2,4,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,0
33,35,44,2,0,3,0,1,1,1,2,2,2,2,4,1,1,1,2,1,1,0,0
41,35,28,2,0,2,0,1,1,0,2,0,2,1,2,1,1,2,2,2,2,2,0
28,35,45,0,1,1,1,1,1,2,0,1,0,0,0,2,2,1,1,1,1,1,1
40,37,45,0,0,4,5,0,0,2,1,0,0,0,2,0,1,1,1,1,0,0,0
23,20,44,0,0,3,0,0,1,1,0,1,1,0,3,0,1,2,2,2,2,1,1
26,45,17,2,0,3,4,1,1,1,1,2,2,2,4,1,1,1,1,0,0,2,0
23,20,41,0,0,2,4,0,1,0,0,1,0,0,4,1,1,1,2,0,0,2,0
33,39,11,0,1,3,4,1,1,2,2,1,0,2,4,1,1,1,2,0,0,2,0
29,20,45,0,0,3,5,0,1,2,0,1,0,0,0,2,1,1,1,1,0,1,0
26,20,17,2,1,1,0,0,1,1,0,1,1,0,0,0,1,2,2,0,2,1,1
28,35,45,0,1,3,2,1,1,0,0,1,1,0,2,2,1,1,1,1,0,1,0
43,5,45,0,0,3,1,1,1,2,2,1,2,2,3,2,0,1,0,1,0,1,1
32,20,45,0,1,2,5,0,0,2,2,2,2,2,0,1,1,1,2,1,2,2,0
35,16,45,0,0,2,5,1,1,2,2,1,2,2,4,1,1,2,2,0,0,2,0
32,20,44,0,0,0,4,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,0
33,16,45,0,1,3,2,0,1,2,2,2,2,2,2,1,1,1,2,1,1,0,0
31,10,45,0,1,3,1,0,1,2,2,1,1,0,1,1,1,2,2,0,0,0,0
28,20,44,0,0,0,4,0,1,0,0,1,1,2,4,1,1,1,2,0,0,2,0
25,20,7,0,0,1,4,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0
39,20,44,2,1,3,0,1,1,1,2,2,2,2,1,1,1,2,2,1,0,2,1
41,20,45,0,1,3,5,0,1,2,2,1,2,0,0,0,1,1,1,1,0,1,0
31,20,45,0,0,3,3,0,0,1,2,1,0,2,0,1,1,1,0,1,1,1,0
41,10,45,0,1,3,2,0,1,2,0,1,0,0,0,2,0,0,0,1,1,0,0
30,20,45,2,1,1,2,0,1,2,1,2,2,0,0,1,1,1,2,0,0,2,0
41,37,45,0,0,3,5,0,1,2,2,2,2,2,0,0,1,1,2,0,2,2,1
31,20,44,1,1,1,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1,1
28,20,45,0,0,3,2,0,1,2,2,2,2,2,2,1,1,1,1,1,0,2,0
20,8,42,0,0,2,5,0,1,2,2,2,2,2,2,1,1,1,1,1,0,2,0
37,39,17,0,0,4,4,0,1,0,0,1,1,2,4,1,1,2,2,0,0,2,0
43,16,45,0,1,3,2,0,0,2,1,1,2,0,2,2,1,0,0,1,1,1,0
48,20,45,0,0,0,5,0,1,2,2,2,2,2,0,0,0,2,2,1,0,2,1
44,37,45,0,0,4,5,1,0,0,0,0,0,2,0,2,1,1,0,1,1,1,0
21,20,7,0,0,0,2,0,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0
27,20,45,0,1,4,5,0,1,0,0,0,0,0,4,1,1,2,2,0,0,2,0
29,10,45,0,0,1,5,1,0,2,0,1,1,0,2,1,1,1,2,0,0,0,0
29,39,25,0,0,4,2,0,1,1,2,1,1,0,2,0,0,1,1,1,1,0,0
25,20,17,0,0,4,3,0,1,2,2,0,2,2,2,0,0,1,2,2,2,2,0
24,10,45,0,0,4,5,0,1,2,2,2,2,2,2,1,1,1,1,2,2,2,0
33,20,45,1,1,3,4,0,1,2,1,1,0,0,0,1,1,2,2,1,0,0,0
26,35,7,0,1,3,2,0,0,1,2,1,1,1,3,2,1,0,0,1,0,1,1
30,16,45,0,0,4,1,0,0,2,0,1,0,0,0,0,1,1,2,1,1,0,0
65,20,45,2,0,4,4,1,0,1,0,1,1,0,4,0,1,1,0,1,1,2,0
31,16,45,0,0,4,2,1,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0
31,39,45,0,0,0,2,0,1,2,2,1,0,2,4,0,1,0,0,1,1,0,0
29,39,37,0,1,3,2,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
46,10,45,0,0,1,1,1,0,2,2,1,1,2,0,0,1,1,1,1,0,1,0
32,20,44,2,0,2,0,0,1,1,2,2,2,2,4,1,1,1,2,1,2,1,1
41,20,7,0,0,0,3,0,1,2,1,1,0,0,2,1,1,1,1,1,1,0,0
34,20,0,2,0,3,0,1,1,0,1,2,2,0,1,2,2,0,0,1,0,2,0
40,14,45,0,1,0,5,0,1,2,2,2,0,2,0,2,0,0,1,1,0,2,0
29,39,7,2,0,0,2,1,1,2,2,1,1,2,3,2,1,1,0,1,2,1,0
34,39,21,0,0,1,4,0,1,1,0,1,1,0,1,2,0,1,2,1,0,1,0
51,37,45,0,0,4,1,0,0,0,1,1,0,0,1,1,1,1,2,1,1,0,0
23,10,0,0,1,1,0,1,1,1,1,1,1,0,4,1,1,1,2,1,0,2,0
36,16,45,0,0,3,1,1,1,2,0,0,2,0,0,0,1,1,1,0,2,2,0
99999999999,2,47,2,1,1,0,0,1,1,2,1,1,1,3,2,2,0,0,2,1,1,1
37,20,44,0,1,3,2,0,0,1,0,1,1,0,0,2,0,1,2,1,0,0,0
42,35,45,1,1,3,2,0,0,2,2,1,1,0,1,2,2,2,2,0,0,1,1
21,20,44,0,1,0,4,0,0,1,0,1,1,2,2,0,1,1,1,1,0,0,0
34,20,44,0,0,4,4,0,1,1,0,1,1,0,2,0,0,1,2,1,0,0,0
37,16,45,0,0,0,5,0,1,2,2,2,2,0,0,1,1,1,2,0,0,0,0
25,20,17,0,0,0,5,0,0,0,1,0,2,0,0,1,1,2,2,1,2,0,0
26,20,45,0,1,3,5,0,1,0,1,1,2,2,3,0,1,1,1,2,2,1,1
37,20,28,0,1,3,4,0,1,1,0,1,1,2,2,0,1,1,2,1,0,2,0
27,16,29,0,0,2,2,0,1,1,2,1,2,1,1,2,1,0,0,1,0,1,1
19,28,45,0,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
38,39,23,0,0,0,2,0,1,0,1,0,0,2,0,1,1,1,2,2,0,1,0
28,20,29,0,1,3,4,1,1,2,2,2,1,0,4,1,1,2,2,2,2,2,0
50,20,45,0,1,4,1,1,1,0,0,1,0,0,0,1,1,1,2,0,0,0,0
34,35,7,0,1,1,2,0,0,0,0,2,0,0,2,1,1,1,1,1,1,2,0
38,39,45,0,1,4,4,0,1,0,0,1,1,0,1,1,1,1,2,1,1,0,1
31,7,44,0,1,3,5,0,1,0,0,1,1,0,0,2,0,0,0,1,2,2,0
27,20,45,0,0,3,1,0,1,0,1,1,1,2,3,0,1,1,0,1,0,1,0
32,20,45,0,0,3,2,0,1,2,2,2,0,2,0,1,1,1,2,1,0,0,0
34,39,44,0,0,3,2,0,1,1,2,1,1,0,2,0,0,2,1,1,1,0,0
51,37,45,2,0,0,0,0,1,1,2,1,1,2,1,1,1,1,1,0,0,0,0
26,39,45,2,1,2,1,1,0,1,0,1,0,1,0,0,1,1,2,1,2,1,0
34,20,44,0,1,4,4,0,1,1,0,1,1,2,1,1,1,1,2,1,2,1,1
40,8,45,0,1,3,2,0,1,2,2,1,2,2,2,1,1,2,2,1,0,2,1
25,35,45,2,1,1,0,1,1,0,1,1,1,2,1,2,1,1,0,1,0,1,1
32,20,7,1,0,2,4,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1,0
35,10,45,1,1,3,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0
37,20,44,0,1,2,4,0,1,1,0,1,1,2,2,2,1,1,2,1,0,1,1
35,39,45,0,0,2,1,0,1,2,1,0,2,0,0,1,1,1,2,1,1,0,0
25,20,45,0,1,1,0,0,1,1,2,1,1,2,4,0,1,2,2,1,0,1,0
32,20,44,0,1,3,4,0,1,1,0,1,0,0,2,1,1,1,2,1,1,0,0
34,20,45,0,1,3,2,1,1,2,2,1,1,0,0,0,1,1,1,1,2,0,1
35,20,45,0,0,4,4,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
19,20,45,0,0,3,0,0,1,0,1,1,1,0,0,1,1,1,2,0,0,0,0
27,35,45,2,1,3,0,1,1,1,0,0,0,0,3,1,1,1,0,1,1,0,0
33,20,44,0,0,4,4,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0
35,10,45,0,1,2,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2,0
31,20,32,0,0,3,5,0,1,0,0,1,1,0,3,2,2,1,0,1,0,1,1
21,1,44,0,0,3,2,0,1,1,2,2,1,2,2,0,1,1,1,1,1,2,0
24,20,45,0,0,3,2,1,1,0,0,1,0,0,2,1,1,1,2,1,0,1,0
25,20,45,0,0,0,5,0,0,0,0,1,1,0,0,1,1,1,2,1,1,0,0
39,16,45,0,1,1,2,1,1,2,2,2,2,0,2,2,1,1,2,1,1,1,0
27,10,0,0,1,3,4,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0
29,37,44,0,0,3,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
43,20,45,0,0,3,4,0,1,1,2,1,1,0,2,1,1,2,2,1,0,0,0
25,10,41,0,1,3,4,0,1,2,2,2,1,0,2,1,1,1,2,1,1,1,0
33,10,7,2,1,1,0,1,1,1,2,1,1,1,3,2,2,0,0,1,0,1,1
41,16,45,0,0,2,5,0,1,2,2,2,2,0,0,0,0,1,0,1,1,2,1
23,10,44,0,0,3,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0
35,39,45,0,0,0,5,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,0
35,39,45,0,1,3,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1,0
30,20,44,0,0,3,2,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0
32,20,45,2,0,3,0,1,1,0,1,0,0,0,4,1,1,2,2,2,2,0,0
34,20,45,0,0,4,4,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0
22,10,45,0,1,1,5,0,1,2,2,2,2,2,2,0,1,0,1,1,1,2,1
35,16,45,0,1,3,2,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,0
38,37,44,0,1,4,3,0,0,2,2,2,2,0,2,1,1,1,2,1,0,1,0
27,23,45,0,1,2,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0,0
25,20,45,0,1,3,5,0,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1
32,8,45,0,1,3,4,0,1,0,0,1,1,1,0,2,0,1,1,1,0,1,1
29,20,45,0,0,0,5,0,1,2,2,1,2,0,0,2,2,0,0,1,1,0,0
40,16,45,0,1,1,3,1,1,0,1,1,0,0,0,0,0,1,1,1,2,0,0
42,16,45,0,0,2,5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
24,10,44,0,1,1,4,1,1,1,0,1,1,0,4,1,1,2,2,1,1,0,0
23,29,45,0,0,2,5,0,1,2,2,1,1,2,1,0,1,2,2,1,1,1,0
33,39,45,0,1,1,5,1,1,2,2,1,1,0,2,2,1,0,0,1,1,1,0
8,0,2,2,1,1,0,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,1
42,20,45,0,0,1,4,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0
29,20,45,0,1,3,2,0,1,0,0,1,1,1,1,2,1,1,1,1,0,0,0
33,39,45,2,0,1,0,1,1,1,0,1,1,2,2,2,0,1,1,2,2,0,0
34,20,44,0,1,1,2,1,0,0,1,1,1,0,2,0,1,1,2,0,2,2,0
20,20,20,0,0,3,2,0,1,0,0,1,1,0,0,2,1,0,0,1,0,2,0
43,20,26,2,0,4,5,1,1,0,0,1,0,0,0,1,1,1,2,1,0,0,0
38,10,45,0,1,3,2,1,1,0,1,0,0,0,0,1,1,1,2,1,1,0,0
38,39,28,0,1,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
33,20,45,2,1,3,0,1,1,1,2,1,1,2,4,0,0,2,2,1,1,2,0
24,10,44,0,0,3,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0
25,37,45,0,0,4,5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
39,20,45,0,0,3,3,0,1,2,1,2,0,2,0,2,0,2,2,1,0,0,0
60,20,45,0,0,1,5,1,1,0,0,2,0,0,2,0,0,1,0,1,0,0,0
29,16,45,0,0,4,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
33,39,6,0,0,2,2,1,1,1,0,1,1,0,2,0,1,1,1,1,0,0,1
35,20,45,0,1,2,2,0,0,2,2,1,2,2,1,0,1,1,1,1,1,1,0
38,20,44,2,0,3,2,1,1,1,0,1,1,2,2,0,0,1,2,1,0,2,0
29,20,7,0,0,0,5,0,0,2,1,2,2,2,1,0,1,1,0,1,0,0,1
29,10,45,0,1,3,2,1,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0
40,20,45,0,1,3,5,0,1,2,2,2,2,2,0,2,2,0,0,1,0,1,1
27,10,29,0,1,2,1,1,1,1,0,1,1,0,2,0,0,1,1,1,2,0,0
33,20,45,0,1,3,1,0,0,2,1,1,1,2,1,2,2,0,0,1,1,1,0
44,20,45,0,1,3,5,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,1
34,39,45,0,0,3,2,0,1,0,0,1,1,0,0,0,1,2,2,1,0,0,0
32,10,45,0,1,1,1,0,1,2,0,1,0,0,0,2,1,1,2,1,1,0,0
34,20,45,0,0,4,2,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0
26,39,0,0,1,3,2,1,1,1,0,1,1,2,0,1,1,2,2,1,0,2,0
18,10,44,0,1,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
27,20,45,0,0,3,5,0,1,2,2,2,2,2,0,1,1,0,0,1,2,2,0
32,35,17,0,0,3,1,0,1,1,0,1,1,0,3,2,2,1,0,1,1,1,1
22,20,0,2,1,3,4,1,1,0,1,2,2,0,2,0,1,1,2,1,2,1,1
30,10,45,0,0,4,5,0,1,2,2,2,2,2,4,1,1,1,0,1,1,2,0
32,20,29,0,0,3,4,0,1,1,0,1,1,0,4,1,1,1,2,0,2,0,0
29,16,45,2,0,4,0,1,1,1,2,1,1,2,4,1,1,2,2,0,0,2,0
27,20,44,0,0,2,5,1,0,0,1,1,2,0,0,1,1,1,2,1,1,0,0
33,20,44,2,1,3,0,1,1,1,2,1,1,1,3,2,0,1,1,1,0,1,1
43,16,45,0,1,3,3,0,0,2,1,1,0,0,0,0,1,0,1,1,0,1,0
33,39,45,0,1,4,2,0,0,2,0,1,1,2,1,1,1,1,1,1,1,0,0
24,39,21,0,0,4,5,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0
21,16,45,0,1,4,5,0,1,2,2,2,2,2,0,1,1,1,2,1,0,2,0
36,16,45,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1
28,10,44,0,0,0,2,0,1,0,0,1,0,2,2,1,1,2,2,0,0,0,0
26,20,45,0,0,0,2,0,1,0,1,1,1,0,0,2,2,1,0,1,1,1,0
25,20,4,0,1,2,2,1,1,0,1,0,0,0,0,0,2,0,0,1,1,0,1
22,20,45,0,0,3,3,0,1,2,2,1,0,2,0,2,1,0,0,1,2,1,0
